id,name,house,category,price,originalPrice,size,badge,shape,color_dark,color_light,image,notes_top,notes_heart,notes_base,description
khamrah,Khamrah,Lattafa,unisex,65,90,100ml EDP,Best Seller,square,#3a1d0c,#c98a3d,,"Cinnamon, Nutmeg, Bergamot","Dates, Praline, Tuberose","Vanilla, Tonka Bean, Amberwood","Warm, sweet and spicy with a whisper of vanilla. Rich, luxurious and very long-lasting — the scent of golden hour, bottled."
khamrah-qahwa,Khamrah Qahwa,Lattafa,unisex,65,90,100ml EDP,Popular,square,#2a1206,#7a4a1e,,"Coffee, Cardamom","Dates, Cinnamon","Vanilla, Tonka, Amberwood","A deep, warm coffee scent laced with sweet and spicy notes. Perfect for cozy island evenings."
khamrah-dukhan,Khamrah Dukhan,Lattafa,unisex,65,90,100ml EDP,,square,#4a1018,#a83a2e,,"Cinnamon, Incense","Oud, Dates","Amber, Vanilla, Tonka","A smoky, spicy blend of cinnamon, oud and sweet amber. Warm, mysterious and utterly magnetic."
asad,Asad,Lattafa,men,50,60,100ml EDP,Best Seller,square,#14110a,#8c6b2f,,"Black Pepper, Pineapple, Tobacco","Coffee, Labdanum, Iris","Vanilla, Amber, Benzoin","A bold and powerful scent with spicy notes, warm amber and smooth vanilla. The lion of the lineup."
asad-bourbon,Asad Bourbon,Lattafa,men,50,60,100ml EDP,,square,#3a1d0c,#9c6b2f,,"Bourbon, Spices","Tobacco, Coffee","Vanilla, Woods, Amber","A rich, sweet-spicy fragrance with warm vanilla, woods and a boozy twist. Made for nights out."
asad-zanzibar,Asad Zanzibar,Lattafa,men,50,60,100ml EDP,,tall,#0e2a4a,#3f78c6,,"Citrus, Bergamot","Aromatic Spices, Lavender","Warm Woods, Musk","A fresh and vibrant scent with citrus, aromatic spices and warm woods. Clean, confident and breezy."
the-kingdom,The Kingdom,Lattafa,men,60,65,100ml EDP,,tall,#5a4418,#c9a23c,,"Spices, Bergamot","Tobacco, Vanilla","Woods, Amber","A warm, spicy fragrance blended with sweet vanilla, tobacco and rich woods. Regal and commanding."
teriaq-intense,Teriaq Intense,Lattafa,unisex,55,60,100ml EDP,,tall,#1c1208,#c9a23c,,"Saffron, Spices","Sweet Accord, Florals","Woods, Amber, Musk","A bold, captivating fragrance with spicy, sweet and woody accords. Richly addictive."
ameer-al-arab,Ameer Al Arab,Asdaaf,men,50,60,100ml EDP,,tall,#16161a,#8c8c94,,"Spices, Bergamot","Woods, Geranium","Amber, Musk","Bold, woody and slightly spicy. A strong masculine scent that lasts all day."
ameer-al-arab-imperium,Ameer Al Arab Imperium,Asdaaf,men,50,55,100ml EDP,,tall,#1a3a5a,#5a9bd4,,"Marine Notes, Citrus","Lavender, Geranium","Cedar, Musk","Fresh, aquatic and clean. Perfect for daily wear and warm island weather."
ameer-al-arab-rose,Ameer Al Arab Rose,Asdaaf,women,50,60,100ml EDP,,round,#7a2240,#e0a0b4,,"Pink Pepper, Bergamot","Rose, Jasmine","Musk, Amber","Floral, sweet and feminine. A romantic scent with a soft, rosy finish."
